,date,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qbelo_prob1,qbelo_prob2,elo_spread,qb_spread,vegas_spread,result
0,1979-09-01,TB,DET,31.0,16.0,1385.204,1487.039,0.4471878979729593,0.5528121020270407,1382.92803485,1501.88631693,0.427168333353,0.572831666647,1.4734000000000014,2.0388474857042485,-3.0,-15.0
1,1979-09-02,BUF,MIA,7.0,9.0,1422.82,1573.513,0.3791191733062367,0.6208808266937633,1423.23935295,1559.95052174,0.37535291513499996,0.624647084865,3.4277199999999994,3.5391187906406687,5.0,2.0
2,1979-09-02,CHI,GB,6.0,3.0,1485.806,1462.5020000000002,0.6244122523839604,0.3755877476160397,1483.90948967,1464.01976814,0.608396442329,0.391603557671,-3.5321600000000046,-3.0614405942003695,-3.0,-3.0
3,1979-09-02,DEN,CIN,10.0,0.0,1579.121,1491.38,0.7066663379123309,0.2933336620876691,1580.34862642,1487.02432658,0.6756024472759999,0.32439755272399995,-6.109640000000001,-5.097818317876262,-3.0,-10.0
4,1979-09-02,KC,IND,14.0,0.0,1408.082,1420.16,0.5755772697541367,0.4244227302458633,1411.64774212,1424.21090188,0.528006603604,0.471993396396,-2.1168799999999988,-0.7792549061055183,-1.0,-14.0
5,1979-09-02,LAR,OAK,17.0,24.0,1571.8370000000002,1543.108,0.6317071473685908,0.3682928526314092,1570.53035028,1554.74634707,0.617516093879,0.382483906121,-3.749160000000002,-3.328561837397027,-4.0,7.0
6,1979-09-02,MIN,SF,28.0,22.0,1501.07,1376.895,0.7481893812663615,0.2518106187336385,1501.39269657,1385.55690109,0.707519637568,0.29248036243200004,-7.566999999999998,-6.138268579372441,-7.0,-6.0
7,1979-09-02,NO,ATL,34.0,40.0,1454.5410000000002,1472.7479999999998,0.5669363096366579,0.4330636903633421,1447.15954458,1464.24245753,0.563143856676,0.436856143324,-1.871719999999999,-1.7644944539999645,-5.0,6.0
8,1979-09-02,NYJ,CLE,22.0,25.0,1486.703,1483.734,0.5965862262051996,0.4034137737948004,1491.27344327,1479.16006236,0.578964348428,0.421035651572,-2.718760000000002,-2.2133271970894604,-2.0,3.0
9,1979-09-02,PHI,NYG,23.0,17.0,1516.285,1435.862,0.6978587467994739,0.3021412532005261,1515.40119848,1430.89280537,0.6862894604449999,0.31371053955499995,-5.81692,-5.439651514590607,-7.0,-6.0
10,1979-09-02,SEA,LAC,16.0,33.0,1489.9289999999999,1550.894,0.5058065707257776,0.4941934292742224,1488.64017048,1543.01697651,0.497223978835,0.502776021165,-0.16140000000000512,0.07715987593951025,-2.0,17.0
11,1979-09-02,ARI,DAL,21.0,22.0,1483.233,1665.557,0.3372951770274772,0.6627048229725228,1481.35149938,1667.4724456,0.317285210293,0.6827147897070001,4.692960000000004,5.324631718921549,4.0,1.0
12,1979-09-03,NE,PIT,13.0,16.0,1550.07,1676.6629999999998,0.4122776023332791,0.5877223976667211,1546.04404649,1676.79644492,0.37886479591399996,0.621135204086,2.4637200000000035,3.4352302706215725,2.0,3.0
13,1979-09-06,DEN,LAR,9.0,13.0,1592.275,1544.396,0.6569617311037479,0.3430382688962521,1595.05416534,1543.83898874,0.645891285584,0.354108714416,-4.515160000000007,-4.176364966643093,-2.0,4.0
14,1979-09-09,IND,TB,26.0,29.0,1397.713,1416.381,0.5662846518880552,0.4337153481119448,1398.87164902,1415.44596612,0.53315073801,0.46684926198999993,-1.8532799999999967,-0.9227734098489294,-0.0,3.0
15,1979-09-09,BUF,CIN,51.0,24.0,1414.8020000000001,1478.226,0.5022680307608501,0.4977319692391498,1415.31086837,1472.31878766,0.474937114234,0.525062885766,-0.06303999999999364,0.6972033924906141,3.0,-27.0
16,1979-09-09,CHI,MIN,26.0,7.0,1495.817,1510.094,0.5724820386815092,0.4275179613184909,1494.40202009,1512.03329263,0.567899507513,0.432100492487,-2.028919999999999,-1.898987692173703,-6.0,-19.0
17,1979-09-09,GB,NO,28.0,19.0,1452.49,1431.997,0.6206097887542612,0.3793902112457388,1453.52723773,1424.79455562,0.6112160441110001,0.3887839558890001,-3.4197199999999977,-3.1437825810562394,-3.0,-9.0
18,1979-09-09,KC,CLE,24.0,27.0,1430.529,1500.8020000000001,0.4924121255877114,0.5075878744122886,1436.98699498,1495.62651774,0.480420294687,0.519579705313,0.21091999999999567,0.544493343771298,-0.0,3.0
19,1979-09-09,MIA,SEA,19.0,10.0,1581.531,1460.636,0.7446154837466006,0.2553845162533994,1567.87900633,1459.92210804,0.7343539320119999,0.26564606798799995,-7.4358,-7.065632521492342,-7.0,-9.0
20,1979-09-09,NE,NYJ,56.0,3.0,1538.951,1469.634,0.6842107243635296,0.3157892756364704,1535.93433378,1474.80698789,0.642012781799,0.35798721820100005,-5.372679999999998,-4.0588184624253465,-8.0,-53.0
21,1979-09-09,NYG,ARI,14.0,27.0,1424.832,1478.7939999999999,0.5158796166908699,0.4841203833091301,1419.39451292,1477.20394897,0.5148060214360001,0.485193978564,-0.4415200000000017,-0.41165144832319744,3.0,13.0
22,1979-09-09,PIT,TEN,38.0,7.0,1687.7820000000002,1577.1689999999999,0.7331981392632735,0.2668018607367265,1686.90615763,1583.21512564,0.736662152887,0.263337847113,-7.0245199999999945,-7.148081234926093,-6.0,-31.0
23,1979-09-09,LAC,OAK,30.0,10.0,1580.1870000000001,1570.549,0.6057902952386011,0.3942097047613991,1571.73503895,1581.43770861,0.585194837262,0.4148051627380001,-2.9855199999999975,-2.3913013273189336,-3.0,-20.0
24,1979-09-09,SF,DAL,13.0,21.0,1367.871,1669.996,0.20342867433193407,0.7965713256680659,1374.91630503,1671.61999601,0.19552545892999998,0.8044745410699999,9.485,9.828943852208795,13.0,8.0
25,1979-09-10,PHI,ATL,10.0,14.0,1527.3139999999999,1495.2920000000001,0.6361062147042331,0.3638937852957669,1526.89949094,1486.60744649,0.624739349187,0.375260650813,-3.8808800000000074,-3.541853334455859,-4.0,4.0
26,1979-09-16,ATL,DEN,17.0,20.0,1516.7120000000002,1569.985,0.5168701035889526,0.4831298964110474,1507.5603498,1573.22787991,0.523517637615,0.476482362385,-0.4690800000000046,-0.6541518175985976,3.0,3.0
27,1979-09-16,CIN,NE,14.0,20.0,1445.079,1562.695,0.42485309540149496,0.5751469045985049,1437.04699922,1563.23524177,0.39762123600999993,0.60237876399,2.10464,2.8864013126358596,6.0,6.0
28,1979-09-16,CLE,IND,13.0,10.0,1514.422,1381.675,0.7573716501078992,0.2426283498921008,1508.86468648,1383.93292339,0.767867803627,0.232132196373,-7.909880000000004,-8.312817241384671,-7.0,-3.0
29,1979-09-16,DAL,CHI,24.0,20.0,1678.066,1520.855,0.7823049405227464,0.21769505947725365,1679.3489917,1519.74429664,0.81733931001,0.18266068999,-8.888440000000005,-10.41211668828348,-9.0,-4.0
30,1979-09-16,GB,TB,10.0,21.0,1469.308,1432.4189999999999,0.6425663274766678,0.35743367252333225,1470.81384011,1430.38469175,0.6410369337430001,0.35896306625700003,-4.075559999999998,-4.029332577754125,-2.0,11.0
31,1979-09-16,TEN,KC,20.0,6.0,1560.0420000000001,1416.9089999999999,0.7681883670794574,0.23181163292054266,1566.33322347,1423.74882624,0.737951469615,0.262048530385,-8.32531999999999,-7.194337176412825,-5.0,-14.0
32,1979-09-16,LAR,SF,27.0,24.0,1566.6870000000001,1359.8010000000002,0.8270841847937895,0.17291581520621047,1565.66527416,1367.18730934,0.812240333912,0.18775966608800002,-10.87544,-10.177315959570356,-13.0,-3.0
33,1979-09-16,MIN,MIA,12.0,27.0,1485.057,1592.376,0.4393974708089173,0.5606025291910828,1486.69101608,1579.20322394,0.432023037704,0.5679769622959999,1.6927599999999978,1.901181030328421,7.0,15.0
34,1979-09-16,NO,PHI,14.0,26.0,1415.1789999999999,1505.894,0.4630605673696827,0.5369394326303173,1407.50795324,1505.94658762,0.45516227720299995,0.544837722797,1.0285999999999964,1.2496145204983156,-3.0,12.0
35,1979-09-16,NYJ,DET,31.0,10.0,1445.89,1439.112,0.6018519064411533,0.3981480935588467,1447.5060799,1455.70768038,0.659436681862,0.340563318138,-2.8711200000000026,-4.591603728156946,-6.0,-21.0
36,1979-09-16,LAC,BUF,27.0,19.0,1603.4029999999998,1447.9489999999998,0.7805775513617058,0.2194224486382942,1596.32451988,1450.58265681,0.780982809086,0.219017190914,-8.81816,-8.834612318075656,-9.0,-8.0
37,1979-09-16,SEA,OAK,27.0,10.0,1449.7920000000001,1547.3329999999999,0.453306194041768,0.546693805958232,1448.59789043,1556.84822767,0.430703380694,0.5692966193060001,1.3016400000000088,1.93856518656742,-3.0,-17.0
38,1979-09-16,ARI,PIT,21.0,24.0,1506.16,1704.908,0.3164974120844561,0.6835025879155439,1504.50370542,1703.7880598000002,0.30576704955899997,0.694232950441,5.349919999999995,5.697832642487188,6.0,3.0
39,1979-09-23,BUF,NYJ,46.0,31.0,1439.185,1469.727,0.5494270945562135,0.4505729054437865,1441.83614871,1467.51593298,0.551860610557,0.448139389443,-1.3783199999999938,-1.4466604634551807,-3.0,-15.0
40,1979-09-23,CIN,TEN,27.0,30.0,1428.93,1571.5120000000002,0.3901699515812552,0.6098300484187448,1422.06374617,1579.4534095000001,0.316900508,0.683099492,3.1032799999999963,5.336976431791787,3.0,3.0
41,1979-09-23,DEN,SEA,37.0,34.0,1584.392,1481.869,0.7239898847275921,0.27601011527240804,1587.85157678,1482.24876807,0.7183724858339999,0.281627514166,-6.700920000000007,-6.5067937341107385,-6.0,-3.0
