,schedule_date,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,home_favorite,fixed_spread,game_info
350,01/14/1968,GB,33.0,14.0,OAK,GB,-13.5,43,1,-13.5,01/14/1968 GB-OAK
538,01/12/1969,IND,7.0,16.0,NYJ,IND,-18.0,40,1,-18.0,01/12/1969 IND-NYJ
727,01/11/1970,KC,23.0,7.0,MIN,MIN,-12.0,39,-1,12.0,01/11/1970 KC-MIN
916,01/17/1971,IND,16.0,13.0,DAL,IND,-2.5,36,1,-2.5,01/17/1971 IND-DAL
1105,01/16/1972,DAL,24.0,3.0,MIA,DAL,-6.0,34,1,-6.0,01/16/1972 DAL-MIA
1294,01/14/1973,MIA,14.0,7.0,WAS,MIA,-1.0,33,1,-1.0,01/14/1973 MIA-WAS
1483,01/13/1974,MIA,24.0,7.0,MIN,MIA,-6.5,33,1,-6.5,01/13/1974 MIA-MIN
1672,01/12/1975,MIN,6.0,16.0,PIT,PIT,-3.0,33,-1,3.0,01/12/1975 MIN-PIT
1861,01/18/1976,DAL,17.0,21.0,PIT,PIT,-7.0,36,-1,7.0,01/18/1976 DAL-PIT
2064,01/09/1977,MIN,14.0,32.0,OAK,OAK,-4.0,38,-1,4.0,01/09/1977 MIN-OAK
2267,01/15/1978,DAL,27.0,10.0,DEN,DAL,-6.0,39,1,-6.0,01/15/1978 DAL-DEN
2500,01/21/1979,DAL,31.0,35.0,PIT,PIT,-3.5,37,-1,3.5,01/21/1979 DAL-PIT
2501,09/01/1979,TB,31.0,16.0,DET,TB,-3.0,30,1,-3.0,09/01/1979 TB-DET
2502,09/02/1979,BUF,7.0,9.0,MIA,MIA,-5.0,39,-1,5.0,09/02/1979 BUF-MIA
2503,09/02/1979,CHI,6.0,3.0,GB,CHI,-3.0,31,1,-3.0,09/02/1979 CHI-GB
2504,09/02/1979,DEN,10.0,0.0,CIN,DEN,-3.0,31.5,1,-3.0,09/02/1979 DEN-CIN
2505,09/02/1979,KC,14.0,0.0,IND,KC,-1.0,37,1,-1.0,09/02/1979 KC-IND
2506,09/02/1979,LAR,17.0,24.0,OAK,LAR,-4.0,36.5,1,-4.0,09/02/1979 LAR-OAK
2507,09/02/1979,MIN,28.0,22.0,SF,MIN,-7.0,32,1,-7.0,09/02/1979 MIN-SF
2508,09/02/1979,NO,34.0,40.0,ATL,NO,-5.0,32,1,-5.0,09/02/1979 NO-ATL
2509,09/02/1979,NYJ,22.0,25.0,CLE,NYJ,-2.0,41,1,-2.0,09/02/1979 NYJ-CLE
2510,09/02/1979,PHI,23.0,17.0,NYG,PHI,-7.0,31.5,1,-7.0,09/02/1979 PHI-NYG
2511,09/02/1979,SEA,16.0,33.0,LAC,SEA,-2.0,42.5,1,-2.0,09/02/1979 SEA-LAC
2512,09/02/1979,ARI,21.0,22.0,DAL,DAL,-4.0,37,-1,4.0,09/02/1979 ARI-DAL
2513,09/02/1979,WAS,27.0,29.0,TEN,TEN,-4.0,33,-1,4.0,09/02/1979 WAS-TEN
2514,09/03/1979,NE,13.0,16.0,PIT,PIT,-2.0,37,-1,2.0,09/03/1979 NE-PIT
2515,09/06/1979,DEN,9.0,13.0,LAR,DEN,-2.0,31.5,1,-2.0,09/06/1979 DEN-LAR
2516,09/09/1979,IND,26.0,29.0,TB,PICK,0.0,33,-1,-0.0,09/09/1979 IND-TB
2517,09/09/1979,BUF,51.0,24.0,CIN,CIN,-3.0,34,-1,3.0,09/09/1979 BUF-CIN
2518,09/09/1979,CHI,26.0,7.0,MIN,CHI,-6.0,31.5,1,-6.0,09/09/1979 CHI-MIN
2519,09/09/1979,DET,24.0,27.0,WAS,PICK,0.0,35.5,-1,-0.0,09/09/1979 DET-WAS
2520,09/09/1979,GB,28.0,19.0,NO,GB,-3.0,35,1,-3.0,09/09/1979 GB-NO
2521,09/09/1979,KC,24.0,27.0,CLE,PICK,0.0,36,-1,-0.0,09/09/1979 KC-CLE
2522,09/09/1979,MIA,19.0,10.0,SEA,MIA,-7.0,40.5,1,-7.0,09/09/1979 MIA-SEA
2523,09/09/1979,NE,56.0,3.0,NYJ,NE,-8.0,42,1,-8.0,09/09/1979 NE-NYJ
2524,09/09/1979,NYG,14.0,27.0,ARI,ARI,-3.0,36,-1,3.0,09/09/1979 NYG-ARI
2525,09/09/1979,PIT,38.0,7.0,TEN,PIT,-6.0,37,1,-6.0,09/09/1979 PIT-TEN
2526,09/09/1979,LAC,30.0,10.0,OAK,LAC,-3.0,42,1,-3.0,09/09/1979 LAC-OAK
2527,09/09/1979,SF,13.0,21.0,DAL,DAL,-13.0,39,-1,13.0,09/09/1979 SF-DAL
2528,09/10/1979,PHI,10.0,14.0,ATL,PHI,-4.0,35.5,1,-4.0,09/10/1979 PHI-ATL
2529,09/16/1979,ATL,17.0,20.0,DEN,DEN,-3.0,32,-1,3.0,09/16/1979 ATL-DEN
2530,09/16/1979,CIN,14.0,20.0,NE,NE,-6.0,41,-1,6.0,09/16/1979 CIN-NE
2531,09/16/1979,CLE,13.0,10.0,IND,CLE,-7.0,42,1,-7.0,09/16/1979 CLE-IND
2532,09/16/1979,DAL,24.0,20.0,CHI,DAL,-9.0,37,1,-9.0,09/16/1979 DAL-CHI
2533,09/16/1979,GB,10.0,21.0,TB,GB,-2.0,36,1,-2.0,09/16/1979 GB-TB
2534,09/16/1979,TEN,20.0,6.0,KC,TEN,-5.0,37,1,-5.0,09/16/1979 TEN-KC
